concat,Product,Cpu_Full,Memory_Full,Gpu_Full
2080Windows 10Intel1614Nvidia GeForce GTX 1060,GS43VR 7RE,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
2079Windows 10Intel1617.3Nvidia GeForce GTX 1060,GE73VR 7RE,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
2076Windows 10Intel814Intel HD Graphics 520,EliteBook 840,Intel Core i7 6500U 2.5GHz,256GB SSD,Intel HD Graphics 520
2065Windows 10Intel1613.3Intel HD Graphics 520,Portege Z30T-C-133,Intel Core i7 6500U 2.5GHz,512GB SSD,Intel HD Graphics 520
2063Windows 10Intel814Intel HD Graphics 620,ThinkPad X1,Intel Core i5 7200U 2.5GHz,256GB Flash Storage,Intel HD Graphics 620
2060Windows 10Intel814Intel HD Graphics 620,Zenbook 3,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
2057Windows 7Intel814Intel HD Graphics 520,EliteBook 840,Intel Core i7 6500U 2.5GHz,512GB SSD,Intel HD Graphics 520
2056Windows 10Intel1613.3Intel UHD Graphics 620,XPS 13,Intel Core i7 8550U 1.8GHz,512GB SSD,Intel UHD Graphics 620
2056Windows 10Intel813.3Intel UHD Graphics 620,XPS 13,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel UHD Graphics 620
2055Windows 10 SIntel813.5Intel Iris Plus Graphics 640,Surface Laptop,Intel Core i7 7600U 2.8GHz,256GB SSD,Intel Iris Plus Graphics 640
2052Windows 10Intel1614Intel HD Graphics 620,Tecra X40-D-10H,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
2047Windows 10Intel817.3Nvidia Quadro M1200,ZBook 17,Intel Core i5 7440HQ 2.8GHz,500GB HDD,Nvidia Quadro M1200
2045Windows 10Intel1612.5Intel HD Graphics 620,Latitude 7280,Intel Core i7 7600U 2.8GHz,256GB SSD,Intel HD Graphics 620
2045Windows 10Intel814Intel HD Graphics 620,Thinkpad T470s,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
2044Windows 10Intel1214Intel HD Graphics 520,Thinkpad T460s,Intel Core i7 6600U 2.6GHz,256GB SSD,Intel HD Graphics 520
2041Windows 7Intel1615.6Nvidia Quadro M520M,ThinkPad P51s,Intel Core i7 6500U 2.5GHz,512GB SSD,Nvidia Quadro M520M
2034Windows 10Intel1613.9Intel UHD Graphics 620,Yoga 920-13IKB,Intel Core i7 8550U 1.8GHz,512GB SSD,Intel UHD Graphics 620
2034Windows 10Intel813.9Intel UHD Graphics 620,Yoga 920-13IKB,Intel Core i7 8550U 1.8GHz,512GB SSD,Intel UHD Graphics 620
2034Windows 10Intel1615Nvidia GeForce 940MX,Notebook 9,Intel Core i7 7500U 2.7GHz,256GB SSD,Nvidia GeForce 940MX
2030Windows 10Intel1615.6Nvidia GeForce GTX 1060,Inspiron 7577,Intel Core i7 7700HQ 2.8GHz,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
2026Windows 10Intel813.3Intel UHD Graphics 620,Latitude 7390,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel UHD Graphics 620
2012Windows 10Intel815.6Nvidia GeForce GTX 1050,XPS 15,Intel Core i7 7700HQ 2.8GHz,256GB SSD,Nvidia GeForce GTX 1050
2008Windows 10Intel813.3Intel HD Graphics 620,ThinkPad Yoga,Intel Core i5 7200U 2.5GHz,512GB SSD,Intel HD Graphics 620
2002Windows 10Intel815.6Nvidia GeForce GTX 1050,XPS 15,Intel Core i7 7700HQ 2.8GHz,256GB SSD,Nvidia GeForce GTX 1050
2001Windows 10Intel1615.6Nvidia GeForce GTX 1060,GT62VR 6RD,Intel Core i7 6700HQ 2.6GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
1994Windows 10Intel813.3Intel HD Graphics 615,XPS 13,Intel Core i5 7Y54 1.2GHz,256GB SSD,Intel HD Graphics 615
1984macOSIntel813.3Intel Iris Plus Graphics 650,MacBook Pro,Intel Core i5 3.1GHz,256GB SSD,Intel Iris Plus Graphics 650
1979Windows 10Intel1615.6Nvidia GeForce GTX 1060,GE63VR 7RE,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
1979Windows 10Intel1617.3Nvidia GeForce GTX 980M,ROG G752VSK-GC493T,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 980M
1979Windows 10 SIntel813.5Intel Iris Plus Graphics 640,Surface Laptop,Intel Core i7 7660U 2.5GHz,256GB SSD,Intel Iris Plus Graphics 640
1979Windows 10Intel1217.3Nvidia GeForce GTX 1060,Omen 15-ce006nv,Intel Core i7 7700HQ 2.8GHz,1TB HDD,Nvidia GeForce GTX 1060
1979Windows 10Intel1615AMD Radeon 540,Notebook 9,Intel Core i7 7500U 2.7GHz,256GB SSD,AMD Radeon 540
1979Windows 10Intel1612.5Intel HD Graphics 620,Blade Stealth,Intel Core i7 7500U 2.5GHz,512GB SSD,Intel HD Graphics 620
1979Windows 10Intel1617.3Nvidia GeForce GTX 1060,Rog GL702VM-GC017T,Intel Core i7 6700HQ 2.6GHz,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
1979Windows 10Intel413.3Intel HD Graphics 620,EliteBook x360,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1979Windows 10Intel814Intel HD Graphics 620,ThinkPad T470s,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1979Windows 10Intel1613.3Intel Iris Graphics 540,Yoga 900-13ISK,Intel Core i7 6560U 2.2GHz,1TB SSD,Intel Iris Graphics 540
1979Windows 10Intel1615.6Nvidia GeForce GTX 950M,Q534UX-BHI7T19 (i7-7500U/16GB/2TB,Intel Core i7 7500U 2.7GHz,512GB SSD +  2TB HDD,Nvidia GeForce GTX 950M
1979Windows 10Intel1615.6Nvidia GeForce GTX 1050 Ti,Rog GL553VE-DS74,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti
1979Windows 10Intel813.3Intel HD Graphics 520,Spectre Pro,Intel Core i7 6600U 2.6GHz,256GB SSD,Intel HD Graphics 520
1979Windows 10Intel1617.3Nvidia GeForce 940MX,Inspiron 7779,Intel Core i7 7500U 2.7GHz,512GB SSD,Nvidia GeForce 940MX
1978Windows 10Intel1612.5Intel HD Graphics 620,Thinkpad X270,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
1969Windows 10Intel812.5Intel HD Graphics 620,Portege X20W-D-10V,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
1956Windows 10Intel815.6Nvidia Quadro M620,Precision 3520,Intel Core i7 7700HQ 2.8GHz,1TB HDD,Nvidia Quadro M620
1953Windows 10Intel814Intel HD Graphics 620,Latitude 7480,Intel Core i7 7600U 2.8GHz,256GB SSD,Intel HD Graphics 620
1947Windows 10Intel817.3Nvidia GeForce GTX 1060,ROG Strix,Intel Core i5 7300HQ 2.5GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
1946Windows 10Intel1614Nvidia GeForce GTX 970M,GS40 Phantom,Intel Core i7 6700HQ 2.6GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 970M
1940Windows 10Intel1614Nvidia GeForce 930M,Tecra Z40-C-161,Intel Core i7 6600U 2.6GHz,512GB SSD,Nvidia GeForce 930M
1939Windows 10Intel815.6Nvidia Quadro M620,Precision 3520,Intel Core i7 7700HQ 2.8GHz,256GB SSD,Nvidia Quadro M620
1936Windows 10Intel812.5Intel HD Graphics 620,ThinkPad X270,Intel Core i5 7300U 2.6GHz,256GB SSD,Intel HD Graphics 620
1933Windows 10Intel813.3Intel HD Graphics 620,Thinkpad Yoga,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1925Windows 10Intel814Intel HD Graphics 620,Elitebook 1040,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1924Windows 10Intel1615.6Nvidia GeForce GTX 1060,Legion Y720-15IKB,Intel Core i7 7700HQ 2.8GHz,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
1924Windows 10Intel814Intel HD Graphics 620,EliteBook 840,Intel Core i7 7600U 2.8GHz,1TB SSD,Intel HD Graphics 620
1924Windows 10Intel1614Intel HD Graphics 620,Yoga 910-13IKB,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
1924Windows 10Intel815.6Nvidia GeForce GTX 1050,XPS 15,Intel Core i5 7300HQ 2.5GHz,256GB SSD,Nvidia GeForce GTX 1050
1924Windows 10Intel1217.3AMD Radeon RX 580,Omen 17-an012dx,Intel Core i7 7700HQ 2.8GHz,1TB HDD,AMD Radeon RX 580
1924Windows 10Intel1617.3Nvidia GeForce GTX 1050 Ti,Rog GL753VE-DS74,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti
1924Windows 10Intel1615.6Nvidia GeForce GTX 1060,FX502VM-AS73 (i7-7700HQ/16GB/1TB,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
1924Windows 10Intel1613.3Intel HD Graphics 620,Zenbook Flip,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
1922Windows 10Intel1613.3Intel HD Graphics 520,Portege Z30-C-16P,Intel Core i7 6500U 2.5GHz,512GB SSD,Intel HD Graphics 520
1912Windows 10Intel815.6Nvidia Quadro M1200,Zbook 15,Intel Core i7 7700HQ 2.8GHz,256GB SSD,Nvidia Quadro M1200
1902Windows 10Intel815.6Intel HD Graphics 620,ThinkPad T570,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
1898Windows 10Intel814Intel HD Graphics 520,Tecra Z40-C-136,Intel Core i7 6600U 2.6GHz,256GB SSD,Intel HD Graphics 520
1885Windows 10Intel812.5Intel HD Graphics 520,ThinkPad Yoga,Intel Core i7 6500U 2.5GHz,256GB SSD,Intel HD Graphics 520
1885Windows 7Intel812.5Intel HD Graphics 520,Latitude E7270,Intel Core i5 6300U 2.4GHz,256GB SSD,Intel HD Graphics 520
1870Windows 10Intel413.3Intel HD Graphics 620,EliteBook x360,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1869Windows 10Intel815.6Nvidia GeForce GTX 1050M,Yoga 720-15IKB,Intel Core i7 7700HQ 2.8GHz,512GB SSD,Nvidia GeForce GTX 1050M
1869Windows 10Intel1217.3Nvidia GeForce GTX 1060,Omen 17-an006nv,Intel Core i7 7700HQ 2.8GHz,1TB HDD,Nvidia GeForce GTX 1060
1869Windows 10Intel1615.6Nvidia GeForce GTX 1050,Notebook Odyssey,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050
1869Windows 10Intel815Intel HD Graphics 620,Notebook 9,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1869Windows 10Intel813.3Intel HD Graphics 515,EliteBook 1030,Intel Core M 6Y54 1.1GHz,256GB SSD,Intel HD Graphics 515
1865Windows 10AMD817.3AMD Radeon RX 580,Rog Strix,AMD Ryzen 1600 3.2GHz,256GB SSD +  1TB HDD,AMD Radeon RX 580
1859Windows 10Intel812.5Intel HD Graphics 620,Latitude 7280,Intel Core i7 7600U 2.8GHz,256GB SSD,Intel HD Graphics 620
1859Windows 10Intel813.3Intel HD Graphics 520,Spectre Pro,Intel Core i5 6200U 2.3GHz,256GB SSD,Intel HD Graphics 520
1855Windows 10Intel814Intel HD Graphics 520,ThinkPad X1,Intel Core i7 6500U 2.5GHz,512GB SSD,Intel HD Graphics 520
1848Windows 10Intel814Intel HD Graphics,Latitude 7480,Intel Core i7 7600U 2.8GHz,512GB SSD,Intel HD Graphics
1847Windows 10Intel1615.6Nvidia GeForce GTX 1050 Ti,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,512GB SSD,Nvidia GeForce GTX 1050 Ti
1840Windows 10Intel1214Intel HD Graphics 520,Thinkpad T460s,Intel Core i7 6600U 2.6GHz,256GB SSD,Intel HD Graphics 520
1839Windows 10Intel813.3Intel HD Graphics 620,Portege X30-D-10J,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1837Windows 10Intel812.5Intel HD Graphics 620,Latitude 5289,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1836Windows 10Intel812.5Intel HD Graphics 520,EliteBook 820,Intel Core i5 6200U 2.3GHz,256GB SSD,Intel HD Graphics 520
1836Windows 10Intel814Intel HD Graphics 520,ThinkPad Yoga,Intel Core i7 6500U 2.5GHz,256GB SSD,Intel HD Graphics 520
1821Windows 10Intel815.6Nvidia GeForce GTX 1060,ROG Strix,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
1815Windows 10Intel814Intel HD Graphics 620,ThinkPad T470s,Intel Core i5 7300U 2.6GHz,256GB SSD,Intel HD Graphics 620
1815Windows 10Intel812.5Intel HD Graphics 620,Thinkpad X270,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1815Windows 10Intel1612.5Intel HD Graphics 520,ThinkPad Yoga,Intel Core i7 6500U 2.50GHz,512GB SSD,Intel HD Graphics 520
1814Windows 10Intel813.3Intel UHD Graphics 620,XPS 13,Intel Core i7 8550U 1.8GHz,256GB SSD,Intel UHD Graphics 620
1814Windows 10Intel815.6Nvidia GeForce GTX 1060,ROG Strix,Intel Core i5 7300HQ 2.5GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
1814Windows 10Intel1613.3Intel HD Graphics 620,Notebook 9,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1814Windows 10Intel1613.3Intel HD Graphics 615,XPS 13,Intel Core i7 7Y75 1.3GHz,256GB SSD,Intel HD Graphics 615
1803Windows 10Intel814Intel HD Graphics 620,Latitude 7480,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1801Windows 10Intel814Intel HD Graphics 520,ThinkPad X1,Intel Core i5 6200U 2.3GHz,256GB SSD,Intel HD Graphics 520
1792Windows 10Intel813.3Intel UHD Graphics 620,XPS 13,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel UHD Graphics 620
1792Windows 10Intel813.3Intel HD Graphics 520,Spectre Pro,Intel Core i5 6300U 2.4GHz,256GB SSD,Intel HD Graphics 520
1786Windows 10Intel813.3Intel HD Graphics 620,XPS 13,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1769Windows 10Intel1615.6Intel UHD Graphics 620,Latitude 5590,Intel Core i7 8650U 1.9GHz,512GB SSD +  256GB SSD,Intel UHD Graphics 620
1760Windows 10Intel1615.6Nvidia GeForce GTX 1050 Ti,Rog GL553VE-FY052T,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti
1759Windows 10Intel813.9Intel UHD Graphics 620,Yoga 920-13IKB,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel UHD Graphics 620
1759Windows 10Intel813.3Intel UHD Graphics 620,XPS 13,Intel Core i5 8250U 1.6GHz,128GB SSD,Intel UHD Graphics 620
1759Windows 10Intel813.3Intel HD Graphics 620,Notebook 9,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1759Windows 10Intel1617.3Nvidia GeForce GTX 1050 Ti,GE72VR 6RF,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti
1759Windows 10Intel817.3Nvidia GeForce GTX 1060,Rog GL702VM-GC354T,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
1759Windows 7Intel412.5Intel HD Graphics 520,Elitebook 820,Intel Core i5 6200U 2.3GHz,128GB SSD,Intel HD Graphics 520
1759Windows 10Intel817.3Nvidia GeForce GTX 965M,GS70 Stealth,Intel Core i7 6700HQ 2.6GHz,256GB SSD,Nvidia GeForce GTX 965M
1758Windows 10Intel1617.3Nvidia GeForce GTX 1060,GE72VR Apache,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
1750Windows 10Intel1617.3Nvidia GeForce GTX 1050 Ti,Rog GL753VE-GC070T,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti
1749Windows 10Intel414Intel HD Graphics 620,Elitebook 840,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1749Windows 10Intel813.3Intel HD Graphics 520,Portégé Z30-C-16K,Intel Core i5 6200U 2.3GHz,256GB SSD,Intel HD Graphics 520
1742Windows 10Intel812.5Intel HD Graphics 620,Thinkpad X270,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1737Windows 10Intel813.3Intel UHD Graphics 620,XPS 13,Intel Core i7 8550U 1.8GHz,256GB SSD,Intel UHD Graphics 620
1737Windows 10Intel412.5Intel HD Graphics 520,EliteBook 820,Intel Core i5 6200U 2.3GHz,500GB HDD,Intel HD Graphics 520
1737Windows 7Intel815.6Intel HD Graphics 520,EliteBook 850,Intel Core i5 6200U 2.3GHz,256GB SSD,Intel HD Graphics 520
1717Windows 7Intel815.6Nvidia Quadro M1000M,ZBook 15,Intel Core i7 6700HQ 2.6GHz,256GB SSD,Nvidia Quadro M1000M
1715Chrome OSIntel812.3Intel HD Graphics 615,Pixelbook (Core,Intel Core i5 7Y57 1.2GHz,256GB SSD,Intel HD Graphics 615
1715Windows 10Intel412.5Intel HD Graphics 620,Elitebook 820,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1704Windows 10Intel1617.3Nvidia GeForce 150MX,Inspiron 7773,Intel Core i7 8550U 1.8GHz,512GB SSD,Nvidia GeForce 150MX
1704Windows 10AMD1617.3AMD Radeon RX 580,Rog Strix,AMD Ryzen 1700 3GHz,256GB SSD +  1TB HDD,AMD Radeon RX 580
1700Windows 10Intel1617.3Nvidia GeForce GTX 980M,GT72S Dominator,Intel Core i7 6820HK 2.7GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 980M
1693Windows 10Intel412.5Intel HD Graphics 620,EliteBook 820,Intel Core i5 7200U 2.5GHz,500GB HDD,Intel HD Graphics 620
1691Windows 10Intel1615.6Nvidia GeForce 930MX,Latitude 5580,Intel Core i7 7600U 2.8GHz,256GB SSD,Nvidia GeForce 930MX
1689Windows 10Intel814Intel HD Graphics 620,Tecra X40-D-10G,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1689Windows 10Intel813.3Intel HD Graphics 520,Portege Z30-C-16Z,Intel Core i5 6300U 2.4GHz,256GB SSD,Intel HD Graphics 520
1687Windows 10Intel815.6Intel HD Graphics 620,ProBook 650,Intel Core i7 7820HQ 2.9GHz,512GB SSD,Intel HD Graphics 620
1682Windows 10Intel1617.3Nvidia GeForce GTX 1050,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050
1682Windows 10Intel815.6Intel HD Graphics 520,Thinkpad T560,Intel Core i7 6600U 2.6GHz,256GB SSD,Intel HD Graphics 520
1670macOSIntel813.3Intel Iris Plus Graphics 640,MacBook Pro,Intel Core i5 2.3GHz,256GB SSD,Intel Iris Plus Graphics 640
1664Windows 7Intel814Intel HD Graphics 520,EliteBook 1040,Intel Core i5 6200U 2.3GHz,256GB SSD,Intel HD Graphics 520
1662Windows 10Intel817.3Nvidia GeForce GTX 960M,GE72 Apache,Intel Core i7 6700HQ 2.6GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M
1661macOSIntel812Intel HD Graphics 615,"MacBook 12""",Intel Core i5 1.3GHz,512GB SSD,Intel HD Graphics 615
1654Windows 10Intel1617.3Nvidia GeForce GTX1050 Ti,FX753VE-GC155T (i7-7700HQ/16GB/1TB,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX1050 Ti
1650Windows 10Intel814Intel HD Graphics 520,EliteBook 1040,Intel Core i7 6500U 2.5GHz,256GB SSD,Intel HD Graphics 520
1649Windows 10Intel1615.6Nvidia GeForce GTX 1060,Inspiron 7577,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
1649Windows 10Intel813.3Intel UHD Graphics 620,Spectre x360,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel UHD Graphics 620
1649Windows 10Intel813Intel HD Graphics 620,MateBook X,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
1649Windows 10Intel1615.6Nvidia GeForce GTX 1060,Legion Y720-15IKB,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
1649Windows 10Intel813.3Intel UHD Graphics 620,ZenBook Flip,Intel Core i7 8550U 1.8GHz,512GB SSD +  512GB SSD,Intel UHD Graphics 620
1649Windows 10Intel813.3Intel UHD Graphics 620,Yoga 730,Intel Core i7 8550U 1.8GHz,512GB SSD,Intel UHD Graphics 620
1649Windows 10Intel814Intel HD Graphics 620,ThinkPad T470s,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1649Windows 10Intel813.3Intel HD Graphics 620,XPS 13,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1649Windows 10Intel813.3Intel HD Graphics 620,Notebook 9,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1649Windows 7Intel814Intel HD Graphics 520,ThinkPad T460,Intel Core i7 6600U 2.6GHz,256GB SSD,Intel HD Graphics 520
1649Windows 10Intel1613.3Intel HD Graphics 620,ThinkPad 13,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
1649Windows 10Intel1613.3Intel HD Graphics 520,Yoga 900-13ISK,Intel Core i7 6500U 2.5GHz,512GB SSD,Intel HD Graphics 520
1649Windows 10Intel1613.3Intel HD Graphics 520,Yoga 900-13ISK,Intel Core i7 6500U 2.5GHz,512GB SSD,Intel HD Graphics 520
1649Windows 10Intel1613.3Intel HD Graphics 520,Yoga 900-13ISK,Intel Core i7 6500U 2.5GHz,512GB SSD,Intel HD Graphics 520
1648Windows 10Intel1617.3Nvidia GeForce GTX 1050,Omen 17-AN010nv,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050
1648Windows 10Intel815.6Nvidia GeForce GTX 1050 Ti,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti
1645Windows 10Intel1614Nvidia GeForce MX150,ZenBook UX430UN,Intel Core i7 8550U 1.8GHz,512GB SSD,Nvidia GeForce MX150
1645Windows 7Intel815.6AMD FirePro W4190M,ZBook 15u,Intel Core i7 6500U 2.5GHz,256GB SSD,AMD FirePro W4190M
1642Windows 10Intel1617.3Nvidia GeForce GTX 1050 Ti,GP72M 7REX,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti
1639Windows 10Intel814Intel HD Graphics 520,Tecra Z40-C-12Z,Intel Core i5 6200U 2.3GHz,256GB SSD,Intel HD Graphics 520
1638Windows 10Intel814Intel HD Graphics 520,Thinkpad T460,Intel Core i7 6600U 2.6GHz,256GB SSD,Intel HD Graphics 520
1635Windows 10Intel817.3Nvidia GeForce GTX 1060,GP72VR Leopard,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
1631Windows 10Intel812.5Intel HD Graphics 620,Elitebook 820,Intel Core i7 7500U 2.7GHz,512GB SSD,Intel HD Graphics 620
1628Windows 10Intel814Intel HD Graphics 620,Thinkpad T470,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1627Windows 10Intel1615.6Nvidia GeForce GTX 1050 Ti,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti
1625Windows 10Intel813.3Intel HD Graphics 620,XPS 13,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1624Windows 10Intel815.6Nvidia GeForce GTX 1060,GP62MVR 6RF,Intel Core i7 6700HQ 2.6GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
1623Windows 10Intel813.3Intel HD Graphics 620,Portege X30-D-10V,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1621Windows 10Intel814Intel HD Graphics 630,Thinkpad T470p,Intel Core i5 7300HQ 2.5GHz,256GB SSD,Intel HD Graphics 630
1619Windows 10Intel812.5Intel HD Graphics,Latitude 7280,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics
1616Windows 7Intel814Intel HD Graphics 520,EliteBook 1040,Intel Core i5 6200U 2.3GHz,256GB SSD,Intel HD Graphics 520
1615Windows 10Intel1615.6Nvidia GeForce 940MX,ZenBook UX530UQ-PRO,Intel Core i7 7500U 2.7GHz,512GB SSD,Nvidia GeForce 940MX
1615Windows 10Intel814Intel HD Graphics 520,EliteBook 840,Intel Core i7 6500U 2.5GHz,512GB SSD,Intel HD Graphics 520
1612Windows 7Intel814Intel HD Graphics 520,ThinkPad T470,Intel Core i5 6200U 2.3GHz,256GB SSD,Intel HD Graphics 520
1606Windows 7Intel813.3Intel HD Graphics 520,Portege Z30-C-1CW,Intel Core i5 6200U 2.3GHz,256GB SSD,Intel HD Graphics 520
1604Windows 10Intel813.3Intel HD Graphics 620,XPS 13,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620
1595Windows 10Intel813.3Intel UHD Graphics 620,XPS 13,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel UHD Graphics 620
1594Windows 10Intel1615.6Nvidia GeForce GTX 1060,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060
1594Windows 10Intel813.3Intel UHD Graphics 620,XPS 13,Intel Core i7 8550U 1.8GHz,256GB SSD,Intel UHD Graphics 620
1594Windows 7Intel814Intel HD Graphics 520,EliteBook 1040,Intel Core i7 6600U 2.6GHz,256GB SSD,Intel HD Graphics 520
1572Windows 10Intel812.5Intel HD Graphics 620,ThinkPad X270,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620
1570Windows 10Intel814Intel HD Graphics 620,Latitude 7480,Intel Core i5 7300U 2.6GHz,256GB SSD,Intel HD Graphics 620
1570Windows 10Intel815.6Intel HD Graphics 630,ProBook 650,Intel Core i7 7820HQ 2.9GHz,256GB SSD,Intel HD Graphics 630
1569Windows 10Intel1615.6Intel HD Graphics 620,Latitude 5580,Intel Core i5 7300U 2.6GHz,512GB SSD,Intel HD Graphics 620
1568Windows 10Intel1615.6Nvidia GeForce 930M,Tecra A50-C-218,Intel Core i7 6500U 2.5GHz,256GB SSD,Nvidia GeForce 930M
1561macOSIntel813.3Intel Iris Graphics 540,MacBook Pro,Intel Core i5 2.0GHz,256GB SSD,Intel Iris Graphics 540
1554Windows 7Intel812.5Intel HD Graphics 520,Latitude E5270,Intel Core i5 6200U 2.3GHz,256GB SSD,Intel HD Graphics 520
